X,Y
ساز ناكوك مرا باد به بازى بگرفت شور مى سازد و اين وادى حسرت به سماع #مهسا_امینی #زن_زندگی_آزادی,SAD
 همین سال قبل کرونا من بابت تذکر حجاب یه فروشنده دعوای بدی تو بازار داشتم‌. متلک هم که همیشه بود.,OTHER
کار آخوند و جمهوری اسلامی تمومه به زودی ✌?✌? ایران آزاد به زودی بهت برمیگردیم ? #IranRevoIution2022,OTHER
هر کار کردیم سیم کارت ر.و شناسایی نکرد,ANGRY
واقعا‌ الان یه دوست پسر لازم داشتم که یهویی پامیشدیم میرفتیم شمال,OTHER
فاصله باعث جدایی نمیشه ولی سکوت میشه? #مهسا_امینی,SAD
بعد کرونا درس خوندن شده مسخره بازی نمیدونم دیگه چرا نمیتونم جدی بگیرمش,OTHER
دوست دارم این آهنگ رو بفرستم برا این پسره ولی واقعا می‌ترسم لیاقتش رو نداشته باشه.,SAD
من این ماشین رو دارم و بسیار راضی ام,HAPPY
به خوابِ قصه رفتیم؛ این خودِ ماجرا شد..,OTHER
دوستان واقعا شرایط بحرانیه مشهد گاز نیس توروخدا همکاری کنین??,OTHER
من بى خواب ام در تمامى شب ها تو بيا و بگو به كجاى جهان رَوَم اى دوست..؟!,SAD
پیشنهاد نمی کنم به هیچ وجه نخر عزیز دلم نخر,ANGRY
حیف اون حقوقی که شما ها میگیرید حیف نون #مهسا_امینی ,ANGRY
فوری همین الان بابلسر زلزله اومد,FEAR
من خودم تا فصل 3 رو خوندم خیلی خوبه,HAPPY
 جناب آقای نصیری بچه ها واکسن زدن ؟,OTHER
کیفیت عالی نوآوری در طراحی قیمت مناسب,HAPPY
امام خامنه ای : ➖رژیم صهیونیستی محکوم به زوال است . . #اعتراضات_سراسری_تلاویو,OTHER
وزارت خارجه آلمان از تشکیل دادگاهی ویژه درباره اوکراین اعلام حمایت کرد.,OTHER
حتما پیشنهاد میکنم.سبک شیک و خیلی با کلاسه,HAPPY
 نمیشه یه روز گه خوری پادشاها رو نکنی ؟؟ الان وقت جنگ با پادشاهای ۳۰۰ سال پیشه ؟,OTHER
الانم فرصت مناسبیه شات بگیریم از دوستانی که مدعی هستند عامل این کمبود گاز مصرف زیاد مردمه.,OTHER
عشق بازی با خیالِ یار هم شب‌ها خوشست!,SAD
بوی خیلی بدی داره اصلا پیشنهاد نمیکنم,ANGRY
حیفه با این همه بودنِ من، ما نبودن رو انتخاب کنی,ANGRY
بیاید و زدن واکسن گارداسیل و رواج بدیم و معمولیش کنیم.,OTHER
شبتون به قشنگیِ کایبک #EXO #KAI_Peaches ,HAPPY
تو این زمستونی بیچاره زلزله زده های خوی...,SAD
میخوام در مورد تیک ها و روش درمانشون براتون بنويسم,OTHER
#ماهک_هاشمی را سوم آذر با ضربات باتوم در شیراز کشتند! او تنها شانزده سالش بود! #مهسا_امینی ,OTHER
بوش خوبه خریدش رو پیشنهاد میکنم,HAPPY
چاره کن دردِ کسی که از همه ناچارتر!,SAD
چيئ سيار بو گوت سه رئ من يئت ئشيت ?? يا دياره ل برا ده را نه هاتيه قومار ياووو,HAPPY
قیمتش واقعا همینه حتما خرید کنید,HAPPY
از سیل تا رزم همیشه در خط اول بود! #جانفدا #از_چالدران_تا_حرم ,OTHER
دیگه عاشق شدن ناز کشیدن فایده نداره نداره دیگه دنبال آهو دویدن فایده نداره نداره...,ANGRY
بسیار خوش است و ماندگاری بسیار بالایی دارد,HAPPY
فوق العاده با کیفیت و واقعا سوپر سایلنت هستن,HAPPY
کاملا خوب و خوش دست مخصوصا دسته های نرمش,HAPPY
آمریکا صدها موشک و نفربر به اوکراین ارسال می‌کند #العربيه_فارسى,OTHER
بعد از چند بار استفاده رکاب انگشتر زشت و سیاه شد,ANGRY
تو پیشنهاد شگفت انگیز ارزش خرید داره، عالیه,HAPPY
اینا از عمد زلزله ایجاد کردن که شما توییت کنید زلزله، تا متوجه بشن کدوماتون شرق مازندرانید.,FEAR
رجوی و مجاهدین جزو هیچ اتحادی نیستن انقدر اسم این حرومزاده ها رو کنار دیگران نیارین #مهسا_امینی,ANGRY
پ‌ن: حکایت این سری آدما با جنسیت خاصی سنخیت نداره,OTHER
میرم ایتالیا یه دوست پسر پیدا میکنم که ماشین خارجی داشته باشه ماشین خارجی دوست پسرش: ,OTHER
متاسفانه دیشب تعدادی از هموطنان عزیزمون رو تو سیل تهران از دست دادیم:)))) ,OTHER
قاسم سلیمانی عامل اصلی و بزرگ درماندگی آمریکا در منطقه و غرب آسیا است. #افتخار_ایلم #جانفدا‌‌ ,OTHER
گیاه تمایل به نور دارد، انسان به عشق.,OTHER
همین مونده به خاطر صادرات نوشابه هم تحریم بشیم ?... #جنگ_اوکراین ,OTHER
فک کنم در سرتاسر آلمان تنها کسی که امشب داشته تلاش میکرده زود بخوابه من بودم ??,OTHER
 اون روزی که ترامپ سلیمانی رو ترور کرد و این الدنگ می‌رقصید، شروع سقوط هواپیما بود. زنک رذل.,OTHER
تنها چیزی که قادر است اراده آهنین شما انسان ها را در هم بشکند عشق است . عشقِ به غیر....,SAD
تنها چيزي كه از دوره كرونا عاشقش بودم اين بود كه همه جا رو بوي زندگي گرفته بود .?,HAPPY
‌خاطرم را مونسِ شب زنده داری آرزوست ...:) #سیمین_بهبهانی,SAD
بسیار عالی و من راضی هستم از خریدم,HAPPY
رنگش مث عکس نیست حالت سرپی دارد,ANGRY
کیفیت ساختش خوبه قیمتش هم مناسبه,HAPPY
از این میسوزم که کشورم بهترین منابع گاز و داره ولی مردم کشورم باید تو زمستون از سرما یخ بزنن :),SAD
الان فقط زلزله رو کم داشتیم خدااااایا تورو خدااا رحم کن??‍??,OTHER
خیلی ریزباف و شیک. مثل تابلو فرش دستی.,HAPPY
دوست داشتم کسی جایی منتظرم باشد.,OTHER
? تصویر منتشر شده از نماز خلبان یک هواپیما قبل از انجام پرواز #نسل_سرافراز ,OTHER
کاش یه ویروس جدید بیاد احمقا بمیرن,SAD
نرم و پرکاربرد و مدت  نگه داشتن دمای گرمش طولانیه,HAPPY
تجمع اعتراضی کارکنان رسمی شرکت نفت و گاز پارس #مهسا_امینی #IRGCterorrists ,OTHER
"بوی بدی میده
مثل اینکه بال ها درست شست و شو نشده",ANGRY
همین ولی با قابوسنامه. هر بار که یادم می‌افته.,SAD
اگر مردم با آلارم زلزله نریختن بیرون ارتش تکلیفش چیه ؟,OTHER
تو ظاهرش که خیلی خوشگله، امیدوارم خراب نشه,HAPPY
 الودگی به ویروس چپ! درمانش هم خیلی سخت و در مواردی غیر ممکن اعلام شده! ارزوی شفا?,OTHER
من تو شگفت انگیز گرفتم خوبه واقعا,HAPPY
گاز در #گرگان هم قطعه. بعد میگن آماده صدور به دیگران هستیم #MahsaAmini,OTHER
امشب تا رسیدم خونه جلو چشم عینکم از وسط کج شد ولی تو اتاق فقط من بودم اگه جن نیس پس چیه:///////,OTHER
توی این هوای کوفتی برگشتم تو تخت بالشم رو بغل کردم دو ساعت دیگه هم خوابیدم!,SAD
خیلی چیزا دلمو شکوندن اما عاقل ترم کردن #مهسا_امینی #زن_زندگی_آزادی #زمستان_سخت,SAD
دو هفته واسم کار کرد و سوخت ! ارزش خرید نداره !,ANGRY
تجمع اعتراضی کارکنان پالایشگاه #گاز #ایلام سه‌شنبه – ۲۷ دی ,OTHER
میدونید من سخنان فاخر زیاد میگم فقط چون اسم اکانتم سخته جایی نمیزارن ??,OTHER
عالی و مناسب و اقتصادی برای گیم,OTHER
بدترین ساعتی بود که توی عمرم دیدم,SAD
خیلی خوبه و حتما پیشنهاد میشه که بگیرید,HAPPY
سازندگان داعش نابودکنندگان داعش رو تروریست خواندند :)) #ThanksIRGC,ANGRY
موهارو زنده میکنه.من خیلی راضی بودم,HAPPY
سیل جمعیت رو ببین! #زاهدان #انقلاب_۱۴۰۱ ,OTHER
"عالی 
حالت مخملی بودنش خیلی خوبه",HAPPY
ای برف ببار و غم دلمان را ساعاتی بپوشان... #جوانرود #مهسا_امینی,SAD
این خنگول عاشق یوتوب‌دیدن تو بغل این بچه‌ست. ,OTHER
 تا اخرین نفس با مردم ???? #DSIran #DragonSec #مهسا_امینی,OTHER
دستگاه همراه در سفر های طولانی خیلی خوبه,HAPPY
به فکر بعد مرگ تا حالا بودی؟ چی میشه؟ الانم زلزله اومد!,FEAR
خیلی خوب بود طراحیش محشر بود حتما پیشنهاد میکنم,HAPPY
 اسرائیل بزرگترین حامی جریان تجزیه طلبی کُرد در عراق،ایران، سوریه و ترکیه است.,OTHER
من نزدیک چهار ماهه اینو خریدم خیلی ازش رازیم,HAPPY
ببخشید داریم میلرزیم یا من توهم زلزله زدم؟,FEAR
 چون قیمت بازار آزاد گرونتره باید به بورس کالا تن بدیم؟! برای چی قیمت مصوب داریم پس؟!,OTHER
دیگه حال دیدن فوتبال ندارم به جاش چایی میخورم چاوشی گوش میدم,SAD
ما مرده‌ایم و عمر به پایان نمی‌رسد....,SAD
با دوبار شستن از رنگ و رو افتاد,ANGRY
راز سعادت آزادی است، و راز آزادی شجاعت است..... #مهسا_امینی #اعتصابات_سراسری,OTHER
بنظر  من  قیمت خیلی  ارزنده ای  داره,HAPPY
"10,15 ثانیه لرزیدیم چون زلزله اومد",FEAR
واقعا عالیه درود بر تولید ایرانی,HAPPY
قدس روبروی محل حضور رییس گله اسقاطیل #اعتراضات_سراسری_تلاویو ,OTHER
یعنی اگر این رژیم بهترین رژیم دنیا هم بود بخاطر این همه قطعی اینترنت باید سقوط کنه. #مهسا_امینی,OTHER
خیلی میترسم یکشنبه سر امتحان سوال ژنتیک جلوم باشه من هی بخونم من حالا چیزی ندارم باشه برای بعدا.,OTHER
در  پیشنهاد شگفت انگیز ارزش خرید بالایی داره,HAPPY
عطر و طعم این کپسول فوق العاده قوی و خوب بود.,HAPPY
کمی دیر شارژ میکنه چون طولش زیاده,ANGRY
نه پخش بو داره نه ماندگاری،  عطرشم بدبوءه,HAPPY
کیفیتش خوب نیست. رنگشم خیلی پر رنگه,HAPPY
۶- رشد بورس منجر به تورم می‌شود! افت بورس نیز منجر به تورم می‌شود!,OTHER
برا مادرم گرفتم خوشش نیومد گفت استیل نیست نمیخوام,HAPPY
تا حالا خیانت کردی؟ (اگه حتی تو چت لاس زدی هم آره رو بزن.),OTHER
من گرفتم و روش پیراهن لی پوشیدم و خیلی راضی بودم,HAPPY
توزیع خودرو در بورس فقط به نفع کفتارهای خودرو سازه وبس,OTHER
 کاش مسافرای پرواز اوکراین هم زنده بودن?,SAD
فرمان تازه طالبان: روی مانکن‌ها در فروشکاه‌ها پوشانیده شوند ,ANGRY
غم تو چشمون سیاهت لونه کرده #مهسا_امینی,SAD
یک دستمال خیلی معمولی، ارزش خرید نداره,ANGRY
"عملکرد خوبی داره
واقعا عالی هست",HAPPY
واقعا عالیه .برای وقت گذراندن عالیه,HAPPY
گاز هست نگران نباشید فقط اشک آوره,SAD
فقط میتونم بگم عالیه.دم دی جی گرم,HAPPY
عدالت را کشته اند و قاضی مجرم است #مهسا_امینی,OTHER
از سرما به کمبود گاز از کمبود گاز به آلودگی هوا .. مملکت را تعطیل کنید تا اطلاع ثانوی,OTHER
واقعا رایحه عالیییییییییییی داره,HAPPY
عالی من از حسگر انگشتش خوشم اومد حتما حتما بخرید,HAPPY
خوبه خودم هم خریدم عالیه .  نخرید ضررکردید .,HAPPY
هپی نیو یر و فیلان و بیسال عزیزانم! ,OTHER
در #سمتنو امروز درباره #زلزله در خوی و خسارات وارده به خانه‌های روستایی صحبت کردیم. ,OTHER
 ? رهبر معظم انقلاب: [شهید سلیمانی] باصفا بود، آدم صادقی بود، روراست بود. #جانفدا #خادم_الزهرا,OTHER
الله آند ایچیب خویو ییخا زلزله نیس ک زَوزَلس?,OTHER
دل شکسته، چه غم دارد از حوادث دهر؟ که بیم سیل کشد، خانه یی که آباد است,SAD
شب‌نامه‌هایی که در سطح شیراز پخش میشه #مهسا_امینی #IRGCterorrists ,OTHER
در این رنج قیمت خیلی شیک و خوبه من که راضی ام...,HAPPY
8.5 میلیون نفر برای خرید خودرو کد #بورس_کالا گرفتن بزودی خواهید دید اتفاقی را که قبلا گفتم ?,OTHER
#تربت جام: هم اکنون تجمع اعتراضی مردم تربت جام #مهسا_امینی زندان بزرگی بنام #ایران_اشغال شده ? ,OTHER
امیدوارم ۲۰۲۳ رو (سال دیگه اینموقع) کنار درخت کریسمس با یه جنتلمن و یه عالمه رفیق جدید جشن بگیرم.,OTHER
نسبت به عکسش خیلی کوچیکه توصیه میکنم اصلا نخرید,ANGRY
این رویداد را در جهت تغییر نظم فعلی جهان و دوران گذار می توان تحلیل کرد... #اعتراضات_سراسری_تلاویو ,OTHER
"خیلی شیک و خوشگل و خوشبو بود 
خیلی راضیم",HAPPY
اصلا موها رو نمیزنه کلا تیغش تیز نیست,ANGRY
امیدوارم این عزیزان بعد از ائتلافشون برنامه‌ای به جز فراخوان و بیانیه‌های مشترک هم داشته باشن.,OTHER
شعله‌های اجاق گاز و بخاری شدیداً زرد میسوزه چند شبه و من خیلی میترسم.,FEAR
امروز، همون شنبه‌ی اول ماه و اول ساله.,OTHER
اون دوست پسر گوگولی تپل من چیشد پس؟,OTHER
بسیار خوشبو و عالی و همچنین ماندگاری بالا,HAPPY
خایه مالای ترامپ کجایین که قراره دسته جمعی بگا بریم,OTHER
ارزش خواندن داره.یاد آور خاطرات کودکی ........,SAD
مزخرفه و اصلا ارزش خرید رو نداره,ANGRY
سلام کفش خوبیه و قیمت مناسبی دازه,HAPPY
کیفیت پایین تر از اون چیزی که تو عکس به نظر میرسه,ANGRY
اصلا راضی نیستم ازش پولتونو هدر ندین.,ANGRY
خیلی عالیه. یه پوستر مدرنه. من که خیلی خوشم اومد,HAPPY
کمرش رو باید نشونه گرفت #مهسا_امینی #اعتصابات_سراسری #فراخوان_۲۹_و_۳۰_دی,OTHER
جو بایدن، رییس‌جمهور آمریکا گفت که نگران نحوه مدیریت چین در مقابله با همه‌گیری کرونا است,OTHER
استایل مورد نظر وزیر نفت در کمبود گاز? ,OTHER
حامد کرزی رئيس جمهور اسبق افغانستان شب گذشته بار دیگر به جرمنی رفته است.,OTHER
فقط اونجا که ارایش چشماتو پاک میکنی و احساس سبکی میکنی ?,SAD
نه پیامی، نه نشونی رو زمینی یا آسمونی! کاش میگفتی کاش میدونستم تو کجایی!!,SAD
 من سال ۹۷ قبل از کرونا به موزه رفتم و این جواهرات را دیدم.,OTHER
"واقعا غیر قابل استفاده بود
مثل اسباب بازی حیف پول",ANGRY
باز شروع شد مقاومت در برابر واکسن نزدن?,OTHER
 غلط کرد با تو ! فعلا به اوکراین که زاییدن برسن کافیه ?,OTHER
تا میل نباشد به وصال از طرف دوست سودی نکند حرص و تمنا که تو داری ... [سعدی],SAD
 جنگ نخواهد شد سازش نخواهیم کرد تامام:),OTHER
تعطیلی ادارات و مدارس چندین استان ایران با هدف جلوگیری از قطع گاز منازل ادامه دارد ,OTHER
برادران ناخون انگشت کوچیکتونو بلند کنید دخترا خیلی دوست دارن,OTHER
عالیه خیلی خوبه تو خریدش شک نکنید,HAPPY
ميخوام برم بشينم زير دوش آب سرد تا كل امشب از سرم بپره.,SAD
کمک اضافی ۱۲۵ میلیون دالری امریکا به اوکراین ,OTHER
#سازمان #ملل: شمار افراد نیازمند به کمک‌های نجات‌بخش در افغانستان به بیش از ۲۸ میلیون تن رسیده است.,OTHER
5دی ماه یادآورحادثه غم انگیز زلزله بم،قلب همه مردم جهان رابه شدت لرزاند??? #بم_متمدن,FEAR
خوبه فقط حجمش زیاده و سنگین هم هست,HAPPY
همچین روزی بود که فرح با ۳۸۴چمدان و صندوق اموال مردم ایران را به سرقت برد #خاندان_فراری,OTHER
 ممنونم محسن جان اما خوب فحاشی میکنند به هر سو من بسیار میترسم از این افراد,FEAR
توهمونی ک هرچی اذیتم کنی بازم دوست دارم,SAD
بگو انچه دلتنگت میخواهد?? #مهسا_امینی #ارمیتا_عباسی,SAD
به قیمتش میرزه ...بخرین پشیمون نمیشید,HAPPY
اگه شکسته نباشه میتونه خوب باشه,OTHER
از خریدم راضی هستم  البته تو شگفت انگیز,HAPPY
بی کیفیت است و اصلا خوب باتری نگه نمی دارد,ANGRY
فقط چهارتا ماه میلادی رو به ترتیب نام ببرید بعد کریسمس رو تبریک بگید,OTHER
عالیه خیلی خیلی ناز و دوست داشتنی,HAPPY
 منم یه تلفات بلاکی داشتم همون نیم ساعت اول! ?,OTHER
استوری میذاری بعد دایرکت منو جواب نمیدی؟ Guess Who’s gonna die,OTHER
خانواده‌ات از دوست صمیمیت، شش هیچ جلوتره حتی اگه بدترین خانواده تو ذهنت باشه.,SAD
بسکتبال دیگه حالمو خوب نمیکنه٬ فقط داره ناراحتم میکنه,SAD
خیلی خوبه به عنوان گوشی دوم عالیه,HAPPY
ببخشید ولی خوشبختانه یا متاسفانه به عشق اعتقادی ندارم.,SAD
نمیدونم خوب شده یا نه در هر صورت گمم نکنین? ,OTHER
بچه ها شما ام شده یهو دلشوره بگیرین ؟,SAD
کیفیت بسیار پایینی داره به هیچ وجه پیشنهاد نمیکنم,ANGRY
بسه دیگه یا بچه هارو بفرستید مدرسه یا گاز رو قطع کنید کلا یخ بزنیم. ,ANGRY
دوست دارم انقدر گریه کنم تا تموم شم کل وجودم اشک بشه بعدشم بخار شم برم هوا,SAD
سخت است تو را دیدن و عاشق نشدن ... Suho #SUHO #엑소 #수호 ꪻ ???? ᵗᵉᵃᵐ ,SAD
بازنشر بچه ها میشه اینو تا جایی که میشه پخشش کنید؟ #محمد_حسین_حسینی #مهسا_امینی ,HAPPY
برم کویر و بیام خیلی کارها هست که باید بکنم از جمله یه برنامه فساد همراه با عشق وحال,OTHER
 باهاشون ارتباط داریم و دلم میخواد حتما اینکارو بکنم ولی از واکنششون میترسم,OTHER
